Path,Category,FieldID,Field,Participants,Items,Stability,ValueType,Units,ItemType,Strata,Sexed,Instances,Array,Coding,Notes,Link
Health-related outcomes > First occurrences > Nervous system disorders,2406,131096,Date G72 first reported (other myopathies),342,342,Ongoing,Date,"",Data,Derived,Unisex,1,1,819,"Date of the first occurrence of any code mapped to 3-character ICD10 G72. The code corresponds to ""other myopathies"". Note that events which were apparently before birth were omitted when constructing this data field.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=131096
Health-related outcomes > First occurrences > Nervous system disorders,2406,131097,Source of report of G72 (other myopathies),342,342,Ongoing,Categorical single,"",Data,Derived,Unisex,1,1,2171,"Source of the first code mapped to 3-character ICD10 G72, and whether this code occurs in other source(s) with the same or a later event date. The code corresponds to ""other myopathies"". See ~R593~ for details of how the first source was assigned.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=131097
Health-related outcomes > First occurrences > Nervous system disorders,2406,131098,Date G73 first reported (disorders of myoneural junction and muscle in diseases classified elsewhere),29,29,Ongoing,Date,"",Data,Derived,Unisex,1,1,819,"Date of the first occurrence of any code mapped to 3-character ICD10 G73. The code corresponds to ""disorders of myoneural junction and muscle in diseases classified elsewhere"". Note that events which were apparently before birth were omitted when constructing this data field.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=131098
Health-related outcomes > First occurrences > Nervous system disorders,2406,131099,Source of report of G73 (disorders of myoneural junction and muscle in diseases classified elsewhere),29,29,Ongoing,Categorical single,"",Data,Derived,Unisex,1,1,2171,"Source of the first code mapped to 3-character ICD10 G73, and whether this code occurs in other source(s) with the same or a later event date. The code corresponds to ""disorders of myoneural junction and muscle in diseases classified elsewhere"". See ~R593~ for details of how the first source was assigned.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=131099
Health-related outcomes > First occurrences > Nervous system disorders,2406,131100,Date G80 first reported (infantile cerebral palsy),289,289,Ongoing,Date,"",Data,Derived,Unisex,1,1,819,"Date of the first occurrence of any code mapped to 3-character ICD10 G80. The code corresponds to ""infantile cerebral palsy"". Note that events which were apparently before birth were omitted when constructing this data field.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=131100
Health-related outcomes > First occurrences > Nervous system disorders,2406,131101,Source of report of G80 (infantile cerebral palsy),289,289,Ongoing,Categorical single,"",Data,Derived,Unisex,1,1,2171,"Source of the first code mapped to 3-character ICD10 G80, and whether this code occurs in other source(s) with the same or a later event date. The code corresponds to ""infantile cerebral palsy"". See ~R593~ for details of how the first source was assigned.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=131101
Health-related outcomes > First occurrences > Nervous system disorders,2406,131102,Date G81 first reported (hemiplegia),2653,2653,Ongoing,Date,"",Data,Derived,Unisex,1,1,819,"Date of the first occurrence of any code mapped to 3-character ICD10 G81. The code corresponds to ""hemiplegia"". Note that events which were apparently before birth were omitted when constructing this data field.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=131102
Health-related outcomes > First occurrences > Nervous system disorders,2406,131103,Source of report of G81 (hemiplegia),2653,2653,Ongoing,Categorical single,"",Data,Derived,Unisex,1,1,2171,"Source of the first code mapped to 3-character ICD10 G81, and whether this code occurs in other source(s) with the same or a later event date. The code corresponds to ""hemiplegia"". See ~R593~ for details of how the first source was assigned.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=131103
Health-related outcomes > First occurrences > Nervous system disorders,2406,131104,Date G82 first reported (paraplegia and tetraplegia),514,514,Ongoing,Date,"",Data,Derived,Unisex,1,1,819,"Date of the first occurrence of any code mapped to 3-character ICD10 G82. The code corresponds to ""paraplegia and tetraplegia"". Note that events which were apparently before birth were omitted when constructing this data field.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=131104
Health-related outcomes > First occurrences > Nervous system disorders,2406,131105,Source of report of G82 (paraplegia and tetraplegia),514,514,Ongoing,Categorical single,"",Data,Derived,Unisex,1,1,2171,"Source of the first code mapped to 3-character ICD10 G82, and whether this code occurs in other source(s) with the same or a later event date. The code corresponds to ""paraplegia and tetraplegia"". See ~R593~ for details of how the first source was assigned.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=131105
Health-related outcomes > First occurrences > Nervous system disorders,2406,131106,Date G83 first reported (other paralytic syndromes),1148,1148,Ongoing,Date,"",Data,Derived,Unisex,1,1,819,"Date of the first occurrence of any code mapped to 3-character ICD10 G83. The code corresponds to ""other paralytic syndromes"". Note that events which were apparently before birth were omitted when constructing this data field.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=131106
Health-related outcomes > First occurrences > Nervous system disorders,2406,131107,Source of report of G83 (other paralytic syndromes),1148,1148,Ongoing,Categorical single,"",Data,Derived,Unisex,1,1,2171,"Source of the first code mapped to 3-character ICD10 G83, and whether this code occurs in other source(s) with the same or a later event date. The code corresponds to ""other paralytic syndromes"". See ~R593~ for details of how the first source was assigned.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=131107
Health-related outcomes > First occurrences > Nervous system disorders,2406,131108,Date G90 first reported (disorders of autonomic nervous system),556,556,Ongoing,Date,"",Data,Derived,Unisex,1,1,819,"Date of the first occurrence of any code mapped to 3-character ICD10 G90. The code corresponds to ""disorders of autonomic nervous system"". Note that events which were apparently before birth were omitted when constructing this data field.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=131108
Health-related outcomes > First occurrences > Nervous system disorders,2406,131109,Source of report of G90 (disorders of autonomic nervous system),556,556,Ongoing,Categorical single,"",Data,Derived,Unisex,1,1,2171,"Source of the first code mapped to 3-character ICD10 G90, and whether this code occurs in other source(s) with the same or a later event date. The code corresponds to ""disorders of autonomic nervous system"". See ~R593~ for details of how the first source was assigned.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=131109
Health-related outcomes > First occurrences > Nervous system disorders,2406,131110,Date G91 first reported (hydrocephalus),717,717,Ongoing,Date,"",Data,Derived,Unisex,1,1,819,"Date of the first occurrence of any code mapped to 3-character ICD10 G91. The code corresponds to ""hydrocephalus"". Note that events which were apparently before birth were omitted when constructing this data field.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=131110
Health-related outcomes > First occurrences > Nervous system disorders,2406,131111,Source of report of G91 (hydrocephalus),717,717,Ongoing,Categorical single,"",Data,Derived,Unisex,1,1,2171,"Source of the first code mapped to 3-character ICD10 G91, and whether this code occurs in other source(s) with the same or a later event date. The code corresponds to ""hydrocephalus"". See ~R593~ for details of how the first source was assigned.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=131111
Health-related outcomes > First occurrences > Nervous system disorders,2406,131112,Date G92 first reported (toxic encephalopathy),12,12,Ongoing,Date,"",Data,Derived,Unisex,1,1,819,"Date of the first occurrence of any code mapped to 3-character ICD10 G92. The code corresponds to ""toxic encephalopathy"". Note that events which were apparently before birth were omitted when constructing this data field.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=131112
Health-related outcomes > First occurrences > Nervous system disorders,2406,131113,Source of report of G92 (toxic encephalopathy),12,12,Ongoing,Categorical single,"",Data,Derived,Unisex,1,1,2171,"Source of the first code mapped to 3-character ICD10 G92, and whether this code occurs in other source(s) with the same or a later event date. The code corresponds to ""toxic encephalopathy"". See ~R593~ for details of how the first source was assigned.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=131113
Health-related outcomes > First occurrences > Nervous system disorders,2406,131114,Date G93 first reported (other disorders of brain),3956,3956,Ongoing,Date,"",Data,Derived,Unisex,1,1,819,"Date of the first occurrence of any code mapped to 3-character ICD10 G93. The code corresponds to ""other disorders of brain"". Note that events which were apparently before birth were omitted when constructing this data field.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=131114
Health-related outcomes > First occurrences > Nervous system disorders,2406,131115,Source of report of G93 (other disorders of brain),3956,3956,Ongoing,Categorical single,"",Data,Derived,Unisex,1,1,2171,"Source of the first code mapped to 3-character ICD10 G93, and whether this code occurs in other source(s) with the same or a later event date. The code corresponds to ""other disorders of brain"". See ~R593~ for details of how the first source was assigned.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=131115
Health-related outcomes > First occurrences > Nervous system disorders,2406,131116,Date G94 first reported (other disorders of brain in diseases classified elsewhere),108,108,Ongoing,Date,"",Data,Derived,Unisex,1,1,819,"Date of the first occurrence of any code mapped to 3-character ICD10 G94. The code corresponds to ""other disorders of brain in diseases classified elsewhere"". Note that events which were apparently before birth were omitted when constructing this data field.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=131116
Health-related outcomes > First occurrences > Nervous system disorders,2406,131117,Source of report of G94 (other disorders of brain in diseases classified elsewhere),108,108,Ongoing,Categorical single,"",Data,Derived,Unisex,1,1,2171,"Source of the first code mapped to 3-character ICD10 G94, and whether this code occurs in other source(s) with the same or a later event date. The code corresponds to ""other disorders of brain in diseases classified elsewhere"". See ~R593~ for details of how the first source was assigned.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=131117
Health-related outcomes > First occurrences > Nervous system disorders,2406,131118,Date G95 first reported (other diseases of spinal cord),1550,1550,Ongoing,Date,"",Data,Derived,Unisex,1,1,819,"Date of the first occurrence of any code mapped to 3-character ICD10 G95. The code corresponds to ""other diseases of spinal cord"". Note that events which were apparently before birth were omitted when constructing this data field.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=131118
Health-related outcomes > First occurrences > Nervous system disorders,2406,131119,Source of report of G95 (other diseases of spinal cord),1550,1550,Ongoing,Categorical single,"",Data,Derived,Unisex,1,1,2171,"Source of the first code mapped to 3-character ICD10 G95, and whether this code occurs in other source(s) with the same or a later event date. The code corresponds to ""other diseases of spinal cord"". See ~R593~ for details of how the first source was assigned.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=131119
Health-related outcomes > First occurrences > Nervous system disorders,2406,131120,Date G96 first reported (other disorders of central nervous system),414,414,Ongoing,Date,"",Data,Derived,Unisex,1,1,819,"Date of the first occurrence of any code mapped to 3-character ICD10 G96. The code corresponds to ""other disorders of central nervous system"". Note that events which were apparently before birth were omitted when constructing this data field.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=131120
Health-related outcomes > First occurrences > Nervous system disorders,2406,131121,Source of report of G96 (other disorders of central nervous system),414,414,Ongoing,Categorical single,"",Data,Derived,Unisex,1,1,2171,"Source of the first code mapped to 3-character ICD10 G96, and whether this code occurs in other source(s) with the same or a later event date. The code corresponds to ""other disorders of central nervous system"". See ~R593~ for details of how the first source was assigned.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=131121
Health-related outcomes > First occurrences > Nervous system disorders,2406,131122,"Date G97 first reported (postprocedural disorders of nervous system, not elsewhere classified)",314,314,Ongoing,Date,"",Data,Derived,Unisex,1,1,819,"Date of the first occurrence of any code mapped to 3-character ICD10 G97. The code corresponds to ""postprocedural disorders of nervous system, not elsewhere classified"". Note that events which were apparently before birth were omitted when constructing this data field.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=131122
Health-related outcomes > First occurrences > Nervous system disorders,2406,131123,"Source of report of G97 (postprocedural disorders of nervous system, not elsewhere classified)",314,314,Ongoing,Categorical single,"",Data,Derived,Unisex,1,1,2171,"Source of the first code mapped to 3-character ICD10 G97, and whether this code occurs in other source(s) with the same or a later event date. The code corresponds to ""postprocedural disorders of nervous system, not elsewhere classified"". See ~R593~ for details of how the first source was assigned.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=131123
Health-related outcomes > First occurrences > Nervous system disorders,2406,131124,"Date G98 first reported (other disorders of nervous system, not elsewhere classified)",2073,2073,Ongoing,Date,"",Data,Derived,Unisex,1,1,819,"Date of the first occurrence of any code mapped to 3-character ICD10 G98. The code corresponds to ""other disorders of nervous system, not elsewhere classified"". Note that events which were apparently before birth were omitted when constructing this data field.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=131124
Health-related outcomes > First occurrences > Nervous system disorders,2406,131125,"Source of report of G98 (other disorders of nervous system, not elsewhere classified)",2073,2073,Ongoing,Categorical single,"",Data,Derived,Unisex,1,1,2171,"Source of the first code mapped to 3-character ICD10 G98, and whether this code occurs in other source(s) with the same or a later event date. The code corresponds to ""other disorders of nervous system, not elsewhere classified"". See ~R593~ for details of how the first source was assigned.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=131125
Health-related outcomes > First occurrences > Nervous system disorders,2406,131126,Date G99 first reported (other disorders of nervous system in diseases classified elsewhere),1664,1664,Ongoing,Date,"",Data,Derived,Unisex,1,1,819,"Date of the first occurrence of any code mapped to 3-character ICD10 G99. The code corresponds to ""other disorders of nervous system in diseases classified elsewhere"". Note that events which were apparently before birth were omitted when constructing this data field.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=131126
Health-related outcomes > First occurrences > Nervous system disorders,2406,131127,Source of report of G99 (other disorders of nervous system in diseases classified elsewhere),1664,1664,Ongoing,Categorical single,"",Data,Derived,Unisex,1,1,2171,"Source of the first code mapped to 3-character ICD10 G99, and whether this code occurs in other source(s) with the same or a later event date. The code corresponds to ""other disorders of nervous system in diseases classified elsewhere"". See ~R593~ for details of how the first source was assigned.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=131127
Health-related outcomes > First occurrences > Eye and adnexa disorders,2407,131128,Date H00 first reported (hordeolum and chalazion),12628,12628,Ongoing,Date,"",Data,Derived,Unisex,1,1,819,"Date of the first occurrence of any code mapped to 3-character ICD10 H00. The code corresponds to ""hordeolum and chalazion"". Note that events which were apparently before birth were omitted when constructing this data field.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=131128
Health-related outcomes > First occurrences > Eye and adnexa disorders,2407,131129,Source of report of H00 (hordeolum and chalazion),12628,12628,Ongoing,Categorical single,"",Data,Derived,Unisex,1,1,2171,"Source of the first code mapped to 3-character ICD10 H00, and whether this code occurs in other source(s) with the same or a later event date. The code corresponds to ""hordeolum and chalazion"". See ~R593~ for details of how the first source was assigned.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=131129
Health-related outcomes > First occurrences > Eye and adnexa disorders,2407,131130,Date H01 first reported (other inflammation of eyelid),5019,5019,Ongoing,Date,"",Data,Derived,Unisex,1,1,819,"Date of the first occurrence of any code mapped to 3-character ICD10 H01. The code corresponds to ""other inflammation of eyelid"". Note that events which were apparently before birth were omitted when constructing this data field.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=131130
Health-related outcomes > First occurrences > Eye and adnexa disorders,2407,131131,Source of report of H01 (other inflammation of eyelid),5019,5019,Ongoing,Categorical single,"",Data,Derived,Unisex,1,1,2171,"Source of the first code mapped to 3-character ICD10 H01, and whether this code occurs in other source(s) with the same or a later event date. The code corresponds to ""other inflammation of eyelid"". See ~R593~ for details of how the first source was assigned.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=131131
Health-related outcomes > First occurrences > Eye and adnexa disorders,2407,131132,Date H02 first reported (other disorders of eyelid),11339,11339,Ongoing,Date,"",Data,Derived,Unisex,1,1,819,"Date of the first occurrence of any code mapped to 3-character ICD10 H02. The code corresponds to ""other disorders of eyelid"". Note that events which were apparently before birth were omitted when constructing this data field.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=131132
Health-related outcomes > First occurrences > Eye and adnexa disorders,2407,131133,Source of report of H02 (other disorders of eyelid),11339,11339,Ongoing,Categorical single,"",Data,Derived,Unisex,1,1,2171,"Source of the first code mapped to 3-character ICD10 H02, and whether this code occurs in other source(s) with the same or a later event date. The code corresponds to ""other disorders of eyelid"". See ~R593~ for details of how the first source was assigned.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=131133
Health-related outcomes > First occurrences > Eye and adnexa disorders,2407,131134,Date H03 first reported (disorders of eyelid in diseases classified elsewhere),80,80,Ongoing,Date,"",Data,Derived,Unisex,1,1,819,"Date of the first occurrence of any code mapped to 3-character ICD10 H03. The code corresponds to ""disorders of eyelid in diseases classified elsewhere"". Note that events which were apparently before birth were omitted when constructing this data field.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=131134
Health-related outcomes > First occurrences > Eye and adnexa disorders,2407,131135,Source of report of H03 (disorders of eyelid in diseases classified elsewhere),80,80,Ongoing,Categorical single,"",Data,Derived,Unisex,1,1,2171,"Source of the first code mapped to 3-character ICD10 H03, and whether this code occurs in other source(s) with the same or a later event date. The code corresponds to ""disorders of eyelid in diseases classified elsewhere"". See ~R593~ for details of how the first source was assigned.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=131135
Health-related outcomes > First occurrences > Eye and adnexa disorders,2407,131136,Date H04 first reported (disorders of lachrymal system),14345,14345,Ongoing,Date,"",Data,Derived,Unisex,1,1,819,"Date of the first occurrence of any code mapped to 3-character ICD10 H04. The code corresponds to ""disorders of lachrymal system"". Note that events which were apparently before birth were omitted when constructing this data field.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=131136
Health-related outcomes > First occurrences > Eye and adnexa disorders,2407,131137,Source of report of H04 (disorders of lachrymal system),14345,14345,Ongoing,Categorical single,"",Data,Derived,Unisex,1,1,2171,"Source of the first code mapped to 3-character ICD10 H04, and whether this code occurs in other source(s) with the same or a later event date. The code corresponds to ""disorders of lachrymal system"". See ~R593~ for details of how the first source was assigned.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=131137
Health-related outcomes > First occurrences > Eye and adnexa disorders,2407,131138,Date H05 first reported (disorders of orbit),1059,1059,Ongoing,Date,"",Data,Derived,Unisex,1,1,819,"Date of the first occurrence of any code mapped to 3-character ICD10 H05. The code corresponds to ""disorders of orbit"". Note that events which were apparently before birth were omitted when constructing this data field.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=131138
Health-related outcomes > First occurrences > Eye and adnexa disorders,2407,131139,Source of report of H05 (disorders of orbit),1059,1059,Ongoing,Categorical single,"",Data,Derived,Unisex,1,1,2171,"Source of the first code mapped to 3-character ICD10 H05, and whether this code occurs in other source(s) with the same or a later event date. The code corresponds to ""disorders of orbit"". See ~R593~ for details of how the first source was assigned.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=131139
Health-related outcomes > First occurrences > Eye and adnexa disorders,2407,131140,Date H06 first reported (disorders of lachrymal system and orbit in diseases classified elsewhere),184,184,Ongoing,Date,"",Data,Derived,Unisex,1,1,819,"Date of the first occurrence of any code mapped to 3-character ICD10 H06. The code corresponds to ""disorders of lachrymal system and orbit in diseases classified elsewhere"". Note that events which were apparently before birth were omitted when constructing this data field.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=131140
Health-related outcomes > First occurrences > Eye and adnexa disorders,2407,131141,Source of report of H06 (disorders of lachrymal system and orbit in diseases classified elsewhere),184,184,Ongoing,Categorical single,"",Data,Derived,Unisex,1,1,2171,"Source of the first code mapped to 3-character ICD10 H06, and whether this code occurs in other source(s) with the same or a later event date. The code corresponds to ""disorders of lachrymal system and orbit in diseases classified elsewhere"". See ~R593~ for details of how the first source was assigned.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=131141
Health-related outcomes > First occurrences > Eye and adnexa disorders,2407,131142,Date H10 first reported (conjunctivitis),23583,23583,Ongoing,Date,"",Data,Derived,Unisex,1,1,819,"Date of the first occurrence of any code mapped to 3-character ICD10 H10. The code corresponds to ""conjunctivitis"". Note that events which were apparently before birth were omitted when constructing this data field.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=131142
Health-related outcomes > First occurrences > Eye and adnexa disorders,2407,131143,Source of report of H10 (conjunctivitis),23583,23583,Ongoing,Categorical single,"",Data,Derived,Unisex,1,1,2171,"Source of the first code mapped to 3-character ICD10 H10, and whether this code occurs in other source(s) with the same or a later event date. The code corresponds to ""conjunctivitis"". See ~R593~ for details of how the first source was assigned.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=131143
Health-related outcomes > First occurrences > Eye and adnexa disorders,2407,131144,Date H11 first reported (other disorders of conjunctiva),8290,8290,Ongoing,Date,"",Data,Derived,Unisex,1,1,819,"Date of the first occurrence of any code mapped to 3-character ICD10 H11. The code corresponds to ""other disorders of conjunctiva"". Note that events which were apparently before birth were omitted when constructing this data field.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=131144
Health-related outcomes > First occurrences > Eye and adnexa disorders,2407,131145,Source of report of H11 (other disorders of conjunctiva),8290,8290,Ongoing,Categorical single,"",Data,Derived,Unisex,1,1,2171,"Source of the first code mapped to 3-character ICD10 H11, and whether this code occurs in other source(s) with the same or a later event date. The code corresponds to ""other disorders of conjunctiva"". See ~R593~ for details of how the first source was assigned.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=131145
Health-related outcomes > First occurrences > Eye and adnexa disorders,2407,131146,Date H13 first reported (disorders of conjunctiva in diseases classified elsewhere),134,134,Ongoing,Date,"",Data,Derived,Unisex,1,1,819,"Date of the first occurrence of any code mapped to 3-character ICD10 H13. The code corresponds to ""disorders of conjunctiva in diseases classified elsewhere"". Note that events which were apparently before birth were omitted when constructing this data field.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=131146
Health-related outcomes > First occurrences > Eye and adnexa disorders,2407,131147,Source of report of H13 (disorders of conjunctiva in diseases classified elsewhere),134,134,Ongoing,Categorical single,"",Data,Derived,Unisex,1,1,2171,"Source of the first code mapped to 3-character ICD10 H13, and whether this code occurs in other source(s) with the same or a later event date. The code corresponds to ""disorders of conjunctiva in diseases classified elsewhere"". See ~R593~ for details of how the first source was assigned.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=131147
Health-related outcomes > First occurrences > Eye and adnexa disorders,2407,131148,Date H15 first reported (disorders of sclera),1277,1277,Ongoing,Date,"",Data,Derived,Unisex,1,1,819,"Date of the first occurrence of any code mapped to 3-character ICD10 H15. The code corresponds to ""disorders of sclera"". Note that events which were apparently before birth were omitted when constructing this data field.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=131148
Health-related outcomes > First occurrences > Eye and adnexa disorders,2407,131149,Source of report of H15 (disorders of sclera),1277,1277,Ongoing,Categorical single,"",Data,Derived,Unisex,1,1,2171,"Source of the first code mapped to 3-character ICD10 H15, and whether this code occurs in other source(s) with the same or a later event date. The code corresponds to ""disorders of sclera"". See ~R593~ for details of how the first source was assigned.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=131149
Health-related outcomes > First occurrences > Eye and adnexa disorders,2407,131150,Date H16 first reported (keratitis),1561,1561,Ongoing,Date,"",Data,Derived,Unisex,1,1,819,"Date of the first occurrence of any code mapped to 3-character ICD10 H16. The code corresponds to ""keratitis"". Note that events which were apparently before birth were omitted when constructing this data field.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=131150
Health-related outcomes > First occurrences > Eye and adnexa disorders,2407,131151,Source of report of H16 (keratitis),1561,1561,Ongoing,Categorical single,"",Data,Derived,Unisex,1,1,2171,"Source of the first code mapped to 3-character ICD10 H16, and whether this code occurs in other source(s) with the same or a later event date. The code corresponds to ""keratitis"". See ~R593~ for details of how the first source was assigned.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=131151
Health-related outcomes > First occurrences > Eye and adnexa disorders,2407,131152,Date H17 first reported (corneal scars and opacities),348,348,Ongoing,Date,"",Data,Derived,Unisex,1,1,819,"Date of the first occurrence of any code mapped to 3-character ICD10 H17. The code corresponds to ""corneal scars and opacities"". Note that events which were apparently before birth were omitted when constructing this data field.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=131152
Health-related outcomes > First occurrences > Eye and adnexa disorders,2407,131153,Source of report of H17 (corneal scars and opacities),348,348,Ongoing,Categorical single,"",Data,Derived,Unisex,1,1,2171,"Source of the first code mapped to 3-character ICD10 H17, and whether this code occurs in other source(s) with the same or a later event date. The code corresponds to ""corneal scars and opacities"". See ~R593~ for details of how the first source was assigned.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=131153
Health-related outcomes > First occurrences > Eye and adnexa disorders,2407,131154,Date H18 first reported (other disorders of cornea),2342,2342,Ongoing,Date,"",Data,Derived,Unisex,1,1,819,"Date of the first occurrence of any code mapped to 3-character ICD10 H18. The code corresponds to ""other disorders of cornea"". Note that events which were apparently before birth were omitted when constructing this data field.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=131154
Health-related outcomes > First occurrences > Eye and adnexa disorders,2407,131155,Source of report of H18 (other disorders of cornea),2342,2342,Ongoing,Categorical single,"",Data,Derived,Unisex,1,1,2171,"Source of the first code mapped to 3-character ICD10 H18, and whether this code occurs in other source(s) with the same or a later event date. The code corresponds to ""other disorders of cornea"". See ~R593~ for details of how the first source was assigned.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=131155
Health-related outcomes > First occurrences > Eye and adnexa disorders,2407,131156,Date H19 first reported (disorders of sclera and cornea in diseases classified elsewhere),146,146,Ongoing,Date,"",Data,Derived,Unisex,1,1,819,"Date of the first occurrence of any code mapped to 3-character ICD10 H19. The code corresponds to ""disorders of sclera and cornea in diseases classified elsewhere"". Note that events which were apparently before birth were omitted when constructing this data field.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=131156
Health-related outcomes > First occurrences > Eye and adnexa disorders,2407,131157,Source of report of H19 (disorders of sclera and cornea in diseases classified elsewhere),146,146,Ongoing,Categorical single,"",Data,Derived,Unisex,1,1,2171,"Source of the first code mapped to 3-character ICD10 H19, and whether this code occurs in other source(s) with the same or a later event date. The code corresponds to ""disorders of sclera and cornea in diseases classified elsewhere"". See ~R593~ for details of how the first source was assigned.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=131157
Health-related outcomes > First occurrences > Eye and adnexa disorders,2407,131158,Date H20 first reported (iridocyclitis),2688,2688,Ongoing,Date,"",Data,Derived,Unisex,1,1,819,"Date of the first occurrence of any code mapped to 3-character ICD10 H20. The code corresponds to ""iridocyclitis"". Note that events which were apparently before birth were omitted when constructing this data field.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=131158
Health-related outcomes > First occurrences > Eye and adnexa disorders,2407,131159,Source of report of H20 (iridocyclitis),2688,2688,Ongoing,Categorical single,"",Data,Derived,Unisex,1,1,2171,"Source of the first code mapped to 3-character ICD10 H20, and whether this code occurs in other source(s) with the same or a later event date. The code corresponds to ""iridocyclitis"". See ~R593~ for details of how the first source was assigned.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=131159
Health-related outcomes > First occurrences > Eye and adnexa disorders,2407,131160,Date H21 first reported (other disorders of iris and ciliary body),770,770,Ongoing,Date,"",Data,Derived,Unisex,1,1,819,"Date of the first occurrence of any code mapped to 3-character ICD10 H21. The code corresponds to ""other disorders of iris and ciliary body"". Note that events which were apparently before birth were omitted when constructing this data field.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=131160
Health-related outcomes > First occurrences > Eye and adnexa disorders,2407,131161,Source of report of H21 (other disorders of iris and ciliary body),770,770,Ongoing,Categorical single,"",Data,Derived,Unisex,1,1,2171,"Source of the first code mapped to 3-character ICD10 H21, and whether this code occurs in other source(s) with the same or a later event date. The code corresponds to ""other disorders of iris and ciliary body"". See ~R593~ for details of how the first source was assigned.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=131161
